Transect,Tin,Air-Dried Soil (~10 g),Air Dried Soil + Tin ,Dry Soil + Tin (105C for 40 hrs),Water Lost,Oven-Dried Soil,RC1 (Blank),Temp (Blank),R Sand (40 seconds),Temp (Sand),RC2 (Blank),Temp (Blank),R Clay (6 hours),Temp (Clay),% Sand,% Clay,% Silt
WR-C-T4 (PLOT 13) ,1.39,10.01,11.4,11.24,0.16,39.4,4,23.6,23,25.1,4,22.9,12,23.3,51.7,20.3,27.9
WR-C-T5 (PLOT 13),1.42,9.99,11.41,11.24,0.17,39.3,4,23.7,21,25,4,22.9,10,23.3,56.8,15.3,28.0
WR-B-T1 (PLOT 5),1.04,10,11.04,10.94,0.1,39.6,3,23.7,19,23.9,2,23,12,23.2,59.6,25.3,15.2
WR-B-T2 (PLOT 5),1.1,10,11.1,10.94,0.16,39.4,1,23.8,18,24.6,2,23,13,23.3,64.4,27.9,7.6
WR-B-T3 (PLOT 5),1.15,10,11.15,10.98,0.17,39.3,1,23.8,21,25.1,2,23,14,23.3,49.1,30.5,20.3
WR-B-T4 (PLOT 5),1.14,10.02,11.16,10.92,0.24,39.0,1,23.8,23,25.2,2,23.1,14,23.3,43.7,30.7,25.6
WR-B-T5 (PLOT 5),1.11,10,11.11,11.03,0.08,39.7,1,23.8,17,25,1,23,11,23.4,59.7,25.2,15.1
WR-C-T1 (PLOT 3/5),1.11,9.99,11.1,11,0.1,39.6,1,23.7,19,24.9,2,22.9,10,23.3,54.5,20.2,25.3
WR-C-T2 (PLOT 3/5),1.54,10.02,11.56,11.53,0.03,39.9,1,23.7,16,25.1,1,23,11,23.1,62.4,25.1,12.5
WR-C-T3 (PLOT 3/5),1.12,10,11.12,11.03,0.09,39.6,1,23.7,18,25,2,23,10,23.2,57.1,20.2,22.7
WR-C-T4 (PLOT 3/5),1.13,10,11.13,11,0.13,39.5,2,23.8,20,25.1,2,23,12,23.3,54.4,25.3,20.3
WR-C-T5 (PLOT 3/5),1.17,10,11.17,10.99,0.18,39.3,1,23.8,19,24.9,2,23,11,23.3,54.2,22.9,22.9
AM-B-T1,1.1,10.01,11.11,10.95,0.16,39.4,8,23,29,23.7,8,23.2,15,23.4,46.6,17.8,35.6
AM-B-T2,1.49,10.02,11.51,11.45,0.06,39.8,8,29.9,24,23.8,8,23.2,12,23.5,59.8,10.1,30.2
AM-B-T3,1.22,10,11.22,11.07,0.15,39.4,8,29.9,26,23.9,8,23.2,13,23.5,54.3,12.7,33.0
AM-B-T4,1.12,9.99,11.11,10.99,0.12,39.5,8,23,25,23.8,8,23.2,13,23.7,57.0,12.7,30.4
AM-B-T5,1.55,9.99,11.54,11.31,0.23,39.1,8,23,29,23.2,8,23.1,16,23.5,46.3,20.5,33.3
AM-C-T1,1.09,9.98,11.07,11,0.07,39.7,8,23,18,23.3,8,23.2,10,23.3,74.8,5.0,20.1
AM-C-T2,1.14,10.01,11.15,11.13,0.02,39.9,8,23.1,16,23.4,8,23.2,11,23.4,80.0,7.5,12.5
AM-C-T3,1.12,10.02,11.14,11.1,0.04,39.8,8,23,14,23.6,8,23.2,12,23.5,84.9,10.0,5.0
AM-C-T4,1.38,9.98,11.36,11.24,0.12,39.5,8,23,13,23.8,8,23.2,9,23.5,87.3,2.5,10.1
AM-C-T5,1.17,10.01,11.18,11.09,0.09,39.6,8,22.9,15,23.7,8,23.2,9,23.5,82.3,2.5,15.1
CF-B-T1,1.21,10.02,11.23,11.13,0.1,39.6,3,22.9,22,23.1,2,23.2,7,23.6,52.0,12.6,35.4
CF-B-T2,1.53,9.98,11.51,11.45,0.06,39.8,3,23,20,23.3,2,23.1,10,23.4,57.2,20.1,22.6
CF-B-T3,1.13,9.98,11.11,11.01,0.1,39.6,3,22.9,25,23.5,2,23.2,11,23.5,44.4,22.7,32.8
CF-B-T4,1.4,10,11.4,11.31,0.09,39.6,3,23.1,24,23.2,2,23.2,9,23.3,47.0,17.7,35.3
CF-B-T5,1.13,10.01,11.14,11.02,0.12,39.5,3,23,25,23.6,2,23.2,13,23.3,44.3,27.8,27.8
CF-C-T1,1.15,10,11.15,11.12,0.03,39.9,3,23,22,23.5,2,23.2,12,23.5,52.4,25.1,22.6
CF-C-T2,1.1,10.01,11.11,10.98,0.13,39.5,3,23,23,23.6,2,23.2,11,23.5,49.3,22.8,27.9
CF-C-T3,1.54,9.99,11.53,11.41,0.12,39.5,3,23,26,23.4,2,23.2,10,23.2,41.8,20.2,38.0
CF-C-T4,1.44,10.01,11.45,11.34,0.11,39.6,3,23,25,23.6,2,23.2,10,23.2,44.4,20.2,35.4
CF-C-T5,1.14,10.01,11.15,11.02,0.13,39.5,3,23,25,23.6,2,23.2,9,23.2,44.3,17.7,38.0
WR-B-T1 P22,1.18,9.99,11.17,11.06,0.11,39.6,3,23,21,23.5,2,23.2,10,23.5,54.5,20.2,25.3
WR-B-T2 P22,1.48,10.01,11.49,11.32,0.17,39.3,3,22.9,20,23.5,2,23.2,15,23.6,56.8,33.1,10.2
WR-B-T3 P22,1.48,9.98,11.46,11.2,0.26,39.0,3,23,23,23.5,2,23.2,16,23.4,48.7,35.9,15.4
WR-B-T4 P22,1.07,10.02,11.09,10.9,0.19,39.2,1,23.3,27,23.3,2,23.6,16,23.7,33.7,35.7,30.6
WR-B-T5 P22,1.53,10,11.53,11.29,0.24,39.0,1,23.2,31,23.8,3,23.6,17,23.7,23.2,35.9,41.0
WR-C-T1 P22,1.8,10.02,11.9,11.71,0.19,39.2,1,23.3,18,23.8,3,23.5,12,23.7,56.7,22.9,20.4
WR-C-T2 P22,1.12,10.01,11.13,11.02,0.11,39.6,1,23.3,20,23.6,3,23.6,14,23.7,52.0,27.8,20.2
WR-C-T3 P22,1.13,10,11.13,10.79,0.34,38.6,1,23.2,27,23.7,3,23.6,16,23.4,32.7,33.6,33.6
WR-C-T4 P22,1.04,10,11.04,10.73,0.31,38.8,2,23.1,32,23.8,3,23.6,18,23.2,22.6,38.7,38.7
WR-C-T5 P22,1.1,10,11.1,10.75,0.35,38.6,2,23,33,23.5,3,23.6,20,23.6,19.7,44.0,36.3
