Year,Site,Transect_ID,Treatment,Transect,Sample,dry_weight,Roots_g_per_m2
2024,CSR,CSR_B_T4,Burn,4,15,1.18,600.97
2024,CSR,CSR_B_T4,Burn,4,30,0.19,96.77
2024,CSR,CSR_B_T4,Burn,4,45,0.6,305.58
2024,CSR,CSR_B_T5,Burn,5,15,0.55,280.11
2024,CSR,CSR_B_T5,Burn,5,30,0.7,356.51
2024,CSR,CSR_B_T5,Burn,5,45,0.2,101.86
2024,CSR,CSR_C_T1,Control,1,15,0.68,346.32
2024,CSR,CSR_C_T1,Control,1,30,0.71,361.6
2024,CSR,CSR_C_T1,Control,1,45,1.11,565.32
2024,CSR,CSR_C_T2,Control,2,15,0.25,127.32
2024,CSR,CSR_C_T2,Control,2,30,1.03,524.57
2024,CSR,CSR_C_T2,Control,2,45,1.26,641.71
2024,CSR,CSR_C_T3,Control,3,15,0.49,249.55
2024,CSR,CSR_C_T3,Control,3,30,0.74,376.88
2024,CSR,CSR_C_T3,Control,3,45,0.45,229.18
2024,CSR,CSR_C_T4,Control,4,15,0.53,269.93
2024,CSR,CSR_C_T4,Control,4,30,0.88,448.18
2024,CSR,CSR_C_T4,Control,4,45,1.14,580.6
2024,CSR,CSR_C_T5,Control,5,15,0.36,183.35
2024,CSR,CSR_C_T5,Control,5,30,0.24,122.23
2024,CSR,CSR_C_T5,Control,5,45,0.79,402.34
2024,TKR,TKR_B_T1,Burn,1,15,0.23,117.14
2024,TKR,TKR_B_T1,Burn,1,30,1.03,524.57
2024,TKR,TKR_B_T1,Burn,1,45,2.26,"1,151.01"
2024,TKR,TKR_B_T2,Burn,2,15,0.54,275.02
2024,TKR,TKR_B_T2,Burn,2,30,0.53,269.93
2024,TKR,TKR_B_T2,Burn,2,45,0.93,473.65
2024,TKR,TKR_B_T3,Burn,3,15,0.35,178.25
2024,TKR,TKR_B_T3,Burn,3,30,0.61,310.67
2024,TKR,TKR_B_T3,Burn,3,45,0.44,224.09
2024,TKR,TKR_B_T4,Burn,4,15,0.17,86.58
2024,TKR,TKR_B_T4,Burn,4,30,1.23,626.43
2024,TKR,TKR_B_T4,Burn,4,45,0.96,488.92
2024,TKR,TKR_B_T5,Burn,5,15,1.05,534.76
2024,TKR,TKR_B_T5,Burn,5,30,0.78,397.25
2024,TKR,TKR_B_T5,Burn,5,45,NA,NA
2024,TKR,TKR_C_T1,Control,1,15,1.2,611.15
2024,TKR,TKR_C_T1,Control,1,30,0.7,356.51
2024,TKR,TKR_C_T1,Control,1,45,5.7,"2,902.99"
2024,TKR,TKR_C_T2,Control,2,15,1.13,575.5
2024,TKR,TKR_C_T2,Control,2,30,3.58,"1,823.28"
