Year,Site,Transect_ID,Cover_Class,5,10,15,20,25,30,35,40,45,50,NPS_Severity
2024,WR13,WR13_B_T3,New_Green,0,2,1,5,0,0,2,4,0,2,
2024,WR13,WR13_B_T3,Bare_Ground,5,12.5,0,0,0,22.5,5,32.5,42.5,0,
2024,WR13,WR13_B_T3,Gopher_Hole,0,0,0,3,0,0,0,0,0,0,
2024,WR13,WR13_B_T3,Gopher_Mound,0,0,0,5,0,0,0,0,0,17.5,
2024,WR13,WR13_B_T4,Black,62.5,77.5,67.5,82.5,62.5,52.5,77.5,57.5,82.5,67.5,light-moderate
2024,WR13,WR13_B_T4,Dried_Unburned,12.5,12.5,27.5,12.5,32.5,27.5,17.5,10,12.5,17.5,
2024,WR13,WR13_B_T4,Living_Green,17.5,0,0,0,0,0,0,3,0,0,
2024,WR13,WR13_B_T4,New_Green,0,0,2,0,0,10,1,0,1,0,
2024,WR13,WR13_B_T4,Bare_Ground,0,5,0,2,0,6,6,27.5,0,12.5,
2024,WR13,WR13_B_T4,Gopher_Hole,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T4,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T5,Black,62.5,42.5,27.5,52.5,32.5,67.5,67.5,27.5,67.5,67.5,light-moderate
2024,WR13,WR13_B_T5,Dried_Unburned,12.5,0,12.5,0,4,17.5,17.5,10,12.5,12.5,
2024,WR13,WR13_B_T5,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T5,New_Green,0,0,1,0,2,2,0,2,1,1,
2024,WR13,WR13_B_T5,Bare_Ground,17.5,52.5,32.5,42.5,52.5,10,10,42.5,12.5,17.5,
2024,WR13,WR13_B_T5,Gopher_Hole,0,0,5,0,3,0,0,0,0,0,
2024,WR13,WR13_B_T5,Gopher_Mound,0,0,12.5,0,3,0,0,12.5,0,0,
2024,PL,PL_B_T1,Black,71.5,77.5,42.5,67.5,22.5,5,10,7,22.5,22.5,moderate
2024,PL,PL_B_T1,Dried_Unburned,5,22.5,12.5,10,22.5,0,7,0,10,12.5,
2024,PL,PL_B_T1,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T1,New_Green,5,0,0,5,17.5,10,0,0,2,0,
2024,PL,PL_B_T1,Bare_Ground,27.5,5,52.5,22.5,47.5,87.5,87.5,92.5,67.5,72.5,
2024,PL,PL_B_T1,Gopher_Hole,5,0,0,0,0,0,0,0,7,0,
2024,PL,PL_B_T1,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T2,Black,10,22.5,22.5,32.5,12.5,37.5,17.5,32.5,17.5,12.5,moderate
2024,PL,PL_B_T2,Dried_Unburned,0,0,12.5,10,5,22.5,7,8,5,5,
2024,PL,PL_B_T2,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T2,New_Green,0,1,0,1,5,5,1,2,0,0,
2024,PL,PL_B_T2,Bare_Ground,92.5,82.5,77.5,67.5,82.5,42.5,82.5,67.5,92.5,77.5,
2024,PL,PL_B_T2,Gopher_Hole,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T2,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
